Year,Company,Country,ICB3 long,R&D (€million),R&D one-year growth (%),R&D intensity (%),Capex (€million),Capex one-year growth (%),Capex intensity (%),R&D-to-capex ratio (%),Net sales (€million),Net sales one-year growth (%),Operating profit (€million),Operating profit one-year growth (%),Profitability (%),Market capitalisation (€million),Market capitalisation one-year growth (%),Employees,Employees one-year growth (%)
2024,SILTRONIC AG,Germany,Electronic & Electrical Equipment,81.6,-4.67289719626168,5.7757644394111,699.9,-41.6166166166166,49.5399207248018,11.6588084012002,1412.8,-6.67195138063152,125.6,-41.8249189439555,8.89014722536806,1410.600013733,-46.6591042043611,4357.0,-2.19977553310887
2024,NVENT ELECTRIC PLC,Ireland,Electronic & Electrical Equipment,81.2397728366542,18.0419580419581,2.32583774250441,71.229184714602,4.2253521126761,2.03924162257496,114.054054054054,3492.92520935605,11.1900968255913,630.089517759168,15.1248680970804,18.0390211640212,10826.7543038205,16.0413115913435,12100.0,7.07964601769912
2024,TEAMVIEWER SE,Germany,Software & Computer Services,79.95,-0.234595323067711,11.90756335062,5.373,-4.17335473515249,0.80024187470771,1487.99553322166,671.422,7.13799029502673,206.393,25.6050730591106,30.7396838352035,1610.579996109,-36.5413730285605,1491.0,2.05338809034908
2024,ELMOS SEMICONDUCTOR SE,Germany,Technology Hardware & Equipment,77.516,2.27194764757106,13.3394137032034,33.168,-69.5745500577907,5.70774644857642,233.707187650748,581.105,1.05945430798956,138.555,-7.46961399759583,23.8433673776684,1210.680027008,-6.81198895920642,1282.0,-3.53649360421369
2024,ZUMTOBEL GROUP AG,Austria,Electronic & Electrical Equipment,77.357,1.27647875153831,7.05016969913492,54.168,6.53135878222904,4.93676838893365,142.809407768424,1097.236,-2.63883404689543,37.339,-15.4556775727386,3.40300536985662,258.017009683,-16.6934605998968,5299.0,-0.953271028037383
2024,BE SEMICONDUCTOR INDUSTRIES NV,Netherlands,Technology Hardware & Equipment,76.746,22.2264691829909,12.633647915216,11.946,81.3572187642326,1.96650715340435,642.440984429935,607.473,4.94262881308498,195.591,-8.3419247207018,32.1974803818441,10735.71368504,-3.04140270377815,1812.0,-3.10160427807487
2024,TKH GROUP NV,Netherlands,Electronic & Electrical Equipment,74.279,2.72299820218503,4.3368647222133,100.714,-43.3430279982673,5.88030255702137,73.7524078082491,1712.735,-7.29605765962376,130.608,-25.13970963323,7.62569807938765,1406.051641402,-15.6455703928538,6492.0,3.44168260038241
2024,DATALOGIC S.P.A.,Italy,Electronic & Electrical Equipment,74.277,2.71597084894832,14.9537658719054,9.609,17.8440029433407,1.93452530747255,772.994068061193,496.711,-7.43658885201176,-0.639,-109.058690104905,-0.128646234933392,299.246027231,-24.2603592869295,2751.0,-5.4639175257732
2024,AXWAY SOFTWARE,France,Software & Computer Services,70.917,17.9983361064892,15.3540545338812,11.932,391.635764318088,2.58336617028739,594.342943345625,461.878,44.8002357544141,87.725,84.4124448181627,18.9931107348694,820.994965747,43.7499950029827,2588.0,76.6552901023891
2024,AGFA GEVAERT NV,Belgium,Electronic & Electrical Equipment,70.0,-10.2564102564103,6.15114235500879,45.0,32.3529411764706,3.95430579964851,155.555555555556,1138.0,-13.3282559025133,-11.0,-56.0,-0.966608084358524,111.935240194,-50.8163281688246,4847.0,-3.56148030242738
2024,VAISALA OYJ,Finland,Electronic & Electrical Equipment,68.6,3.62537764350452,12.150194828197,19.1,37.4100719424461,3.38292596528516,359.162303664921,564.6,4.47816432272392,82.9,24.8493975903614,14.6829613885937,1587.998000064,34.6544098738067,2368.0,2.33362143474503
2024,MYCRONIC AB,Sweden,Technology Hardware & Equipment,66.2361462605812,15.701219512195,10.7552784469321,10.9957238851558,22.330097087379,1.78546124415475,602.380952380951,615.847805218605,23.6768314055378,171.568199668383,57.1542765787371,27.8588635397478,3412.86283020577,38.970582238389,2158.0,5.52567237163814
2024,LECTRA,France,Software & Computer Services,64.273,20.0332424457476,12.2035642541686,2.534,-21.7659771534424,0.481132541192464,2536.42462509866,526.674,10.2799746219997,48.798,0.718266253869967,9.26531402727304,983.65709,-16.7996107503365,2951.0,16.1811023622047
2024,CD PROJEKT S.A.,Poland,Software & Computer Services,57.4336842105263,-7.62536823214716,24.9260428616387,22.9059649122807,71.2329725287217,9.94111854461285,250.736803406758,230.416374269006,-19.9292147042875,85.4514619883041,-21.6423352967171,37.0856725175883,4527.9910230278,67.0356338856945,615.0,-2.8436018957346
2024,CEGEDIM,France,Software & Computer Services,56.5,1.61870503597122,8.63259668508287,31.309,42.6248177842565,4.78368087811079,180.45929285509,654.496,6.25021306991128,11.087,-44.5178401641395,1.69397521146042,179.73872625,-28.1014950323766,6659.0,1.16985718626557
2024,NEDERLANDSCHE APPARATENFABRIEK 'NEDAP' N.V.,Netherlands,Electronic & Electrical Equipment,53.227,10.2259313715339,21.1549009165123,10.897,1.94592571802788,4.33097779862165,488.455538221529,251.606,-4.12306707414661,23.979,-10.1842834669264,9.53037685905742,368.06,-14.0625,1041.0,2.76406712734452
2024,TECHNOPROBE SPA,Italy,Electronic & Electrical Equipment,52.58,10.6109054190508,9.6805135937756,85.03,35.3248241397969,15.6548891380513,61.8369987063389,543.153,32.7113376368887,67.11,-15.9464943262944,12.3556346001955,3752.98362339,-27.7667464835499,2876.0,4.73415877640204
