provider_name,country,provided_name,share_provided,year
NAURA,CHN,Low-pressure CVD tools,2.8,2024
NAURA,CHN,High-temperature CVD tools,3.4,2024
NAURA,CHN,Physical vapor deposition tools,10.4,2024
NAURA,CHN,Tube-based diffusion and deposition tools,10.4,2024
NAURA,CHN,Chemical vapor deposition tools,2.1,2024
NAURA,CHN,Dry etching and cleaning tools,4.9,2024
NAURA,CHN,Wet etching and cleaning tools,3.5,2024
NAURA,CHN,Conductor etching tools,6.1,2024
NAURA,CHN,Dry stripping tools,7.3,2024
NAURA,CHN,Misc. dry etch tools,55.5,2024
NAURA,CHN,Etch and clean tools,4.4,2024
National Instruments,USA,Linear and discrete testing tools,14.1,2024
Nikon,JPN,KrF (DUV) lithography tools,3.4,2024
Nikon,JPN,i-line lithography tools,5.7,2024
Nikon,JPN,Lithography tools,1.2,2024
Nikon,JPN,ArF dry (DUV) lithography tools,5.7,2024
Nikon,JPN,ArF immersion (DUV) lithography tools,1.3,2024
Nissin Ion,JPN,Ion implanters,1.2,2024
Nordson,USA,Bonding tools,1.1,2024
Nordson,USA,Other interconnect tools,11.0,2024
Nova,ISR,Process control tools,3.7,2024
Nova,ISR,"Film, stack, and shape metrology tools",20.6,2024
NuFlare,JPN,Other deposition tools (non-IC),1.9,2024
NuFlare,JPN,Lithography tools,1.3,2024
NuFlare,JPN,Mask exposure systems - e-beam,38.5,2024
Okamoto,JPN,Crystal machining tools,6.2,2024
Onto Innovation,USA,i-line lithography tools,1.9,2024
Onto Innovation,USA,i-line lithography tools,1.9,2024
Onto Innovation,USA,i-line lithography tools,1.9,2024
Onto Innovation,USA,Fabrication tools (for advanced packaging),6.2,2024
Onto Innovation,USA,Fabrication tools (for advanced packaging),6.2,2024
Onto Innovation,USA,Fabrication tools (for advanced packaging),6.2,2024
Onto Innovation,USA,Process control tools,3.0,2024
Onto Innovation,USA,Process control tools,3.0,2024
Onto Innovation,USA,Process control tools,3.0,2024
Onto Innovation,USA,Inspection tools (adv. pkg.),40.2,2024
Onto Innovation,USA,Inspection tools (adv. pkg.),40.2,2024
Onto Innovation,USA,Inspection tools (adv. pkg.),40.2,2024
Onto Innovation,USA,"Film, stack, and shape metrology tools",13.6,2024
Onto Innovation,USA,"Film, stack, and shape metrology tools",13.6,2024
Onto Innovation,USA,"Film, stack, and shape metrology tools",13.6,2024
Onto Innovation,USA,Defect inspection tools,1.4,2024
Onto Innovation,USA,Defect inspection tools,1.4,2024
Onto Innovation,USA,Defect inspection tools,1.4,2024
Oxford Instruments,GBR,CVD tools (adv. pkg.),1.2,2024
Oxford Instruments,GBR,Misc. dry etch tools,3.7,2024
PROTEC,KOR,Die attaching tools for non-IC,1.6,2024
PROTEC,KOR,Other interconnect tools,2.4,2024
PSK,KOR,Dry clean tools,39.8,2024
PSK,KOR,Dry stripping tools,7.9,2024
PacTech,JPN,Wafer level stud bonders,1.2,2024
Palomar Technologies,USA,Auto ball bonders for non-IC,2.7,2024
Pentamaster,MYS,Handlers and probers,2.2,2024
Piotech,CHN,CVD tools (adv. pkg.),1.2,2024
Piotech,CHN,Deposition tools,1.8,2024
Piotech,CHN,Plasma CVD tools,6.4,2024
Piotech,CHN,Chemical vapor deposition tools,4.2,2024
Plasma-Therm,USA,Other deposition tools (non-IC),2.1,2024
Plasma-Therm,USA,Misc. dry etch tools,12.7,2024
Precision Valve & Automation,USA,Other interconnect tools,4.3,2024
Raintree Scientific Instruments (RSIC),CHN,"Film, stack, and shape metrology tools",2.3,2024
Riber,FRA,Other deposition tools (non-IC),1.3,2024
Rigaku,JPN,Process control tools,1.2,2024
Rigaku,JPN,"Film, stack, and shape metrology tools",7.1,2024
Rorze,JPN,Wafer handlers,2.4,2024
Rorze,JPN,Wafer and photomask handlers,2.3,2024
Royce Instruments,USA,Assembly inspection tools,1.2,2024
SAEJONG IND,KOR,Other interconnect tools,1.7,2024
SAMCO,JPN,Dry stripping tools,1.1,2024
SAMCO,JPN,Misc. dry etch tools,8.3,2024
SEMES,KOR,Wafer handlers,13.7,2024
SEMES,KOR,Resist processing tools (adv. pkg.),4.9,2024
SEMES,KOR,Lithography tools (adv. pkg.),4.1,2024
SEMES,KOR,Die attaching tools for IC,21.2,2024
SEMES,KOR,Resist processing tools,1.3,2024
SEMES,KOR,Wet etching and cleaning tools,4.5,2024
SEMES,KOR,Etch and clean tools,1.8,2024
SEMES,KOR,Wafer and photomask handlers,13.1,2024
SEMES,KOR,Bonding tools,10.2,2024
SEMES,KOR,Die attaching tools,17.0,2024
SEMES,KOR,Handlers and probers,7.8,2024
SMEE,CHN,i-line lithography tools,4.3,2024
SMIT,JPN,Ion implanters,8.2,2024
SPEA,ITA,SoC test tools,1.4,2024
SPEA,ITA,Handlers and probers,1.6,2024
SSP,KOR,Other interconnect tools,3.7,2024
STK Technology,JPN,Burn-in test tools,1.4,2024
SUSS MicroTec,DEU,Wafer bonding and aligning tools,3.7,2024
SUSS MicroTec,DEU,Resist processing tools (adv. pkg.),13.1,2024
SUSS MicroTec,DEU,Mask aligners,87.1,2024
SUSS MicroTec,DEU,Lithography tools (adv. pkg.),10.8,2024
SUSS MicroTec,DEU,Resist processing tools,2.9,2024
Screen,JPN,Fabrication tools (for advanced packaging),3.3,2024
Screen,JPN,Single wafer spin & spray systems (adv. pkg.),48.7,2024
Screen,JPN,Etch and clean tools (adv. pkg.),15.9,2024
Screen,JPN,Resist processing tools,2.1,2024
Screen,JPN,Rapid thermal processing tools,3.3,2024
Screen,JPN,Wet etching and cleaning tools,37.9,2024
Screen,JPN,Etch and clean tools,9.9,2024
Semics,KOR,Handlers and probers,7.8,2024
Semilab,HUN,"Film, stack, and shape metrology tools",2.8,2024
Shenzhen Axxon Automation,SWE,Other interconnect tools,8.1,2024
Shenzhen Naso Tech Co.,CHN,Other deposition tools (non-IC),2.6,2024
ShibaSoku,JPN,Linear and discrete testing tools,1.8,2024
Shibaura Mechatronics,JPN,Fabrication tools (for advanced packaging),1.9,2024
Shibaura Mechatronics,JPN,Single wafer spin & spray systems (adv. pkg.),28.0,2024
Shibaura Mechatronics,JPN,Etch and clean tools (adv. pkg.),9.2,2024
Shibaura Mechatronics,JPN,Die attaching tools for IC,3.8,2024
Shibaura Mechatronics,JPN,Die attaching tools for non-IC,3.7,2024
Shibaura Mechatronics,JPN,Dry stripping tools,7.2,2024
Shibaura Mechatronics,JPN,Misc. dry etch tools,13.6,2024
Shibaura Mechatronics,JPN,Bonding tools,2.3,2024
Shibaura Mechatronics,JPN,Die attaching tools,3.8,2024
Shibuya Kogyo,JPN,Other interconnect tools,1.4,2024
Shinkawa,JPN,Die attaching tools for IC,5.1,2024
Shinkawa,JPN,Auto ball bonders for IC,3.5,2024
Shinkawa,JPN,Auto ball bonders for non-IC,5.0,2024
Shinkawa,JPN,Wafer level stud bonders,11.9,2024
Shinkawa,JPN,Bonding tools,3.5,2024
Shinkawa,JPN,Die attaching tools,4.2,2024
Shinkawa,JPN,Wire bonding tools,3.1,2024
TESEC,JPN,Linear and discrete testing tools,7.8,2024
TOWA,JPN,Packaging tools,45.5,2024
TechWing,KOR,Handlers and probers,2.3,2024
Tensun,CHN,Other interconnect tools,6.2,2024
Teradyne,USA,Test tools,27.7,2024
Teradyne,USA,Memory test tools,28.6,2024
Teradyne,USA,SoC test tools,30.4,2024
Thermco Epitaxy,GBR,High-temperature CVD tools,1.3,2024
Tokyo Electron,JPN,Wafer bonding and aligning tools,39.5,2024
Tokyo Electron,JPN,Dry etch tools,26.4,2024
Tokyo Electron,JPN,Plasma modification tools,6.0,2024
Tokyo Electron,JPN,Fabrication tools (for advanced packaging),6.6,2024
Tokyo Electron,JPN,Resist processing tools (adv. pkg.),80.0,2024
Tokyo Electron,JPN,Lithography tools (adv. pkg.),66.0,2024
Tokyo Electron,JPN,Other deposition tools (non-IC),4.2,2024
Tokyo Electron,JPN,Lithography tools,10.6,2024
Tokyo Electron,JPN,Resist processing tools,91.8,2024
Tokyo Electron,JPN,Deposition tools,10.2,2024
Tokyo Electron,JPN,Low-pressure CVD tools,30.5,2024
Tokyo Electron,JPN,Atomic layer deposition tools,16.0,2024
Tokyo Electron,JPN,Tube-based diffusion and deposition tools,56.2,2024
Tokyo Electron,JPN,Chemical vapor deposition tools,5.8,2024
Tokyo Electron,JPN,Dry etching and cleaning tools,25.6,2024
Tokyo Electron,JPN,Wet etching and cleaning tools,21.5,2024
Tokyo Electron,JPN,Conductor etching tools,2.9,2024
Tokyo Electron,JPN,Insulator etching tools,61.8,2024
Tokyo Electron,JPN,Etch and clean tools,25.4,2024
Tokyo Electron,JPN,Handlers and probers,20.8,2024
Tokyo Weld,JPN,Handlers and probers,1.2,2024
Toray,JPN,Mask aligners,4.6,2024
Trinity Tech,CHN,Packaging tools,1.6,2024
Trio-Tech International,USA,Burn-in test tools,1.5,2024
Trion Technology,USA,Misc. dry etch tools,1.0,2024
Trymax,NLD,Dry stripping tools,11.3,2024
ULVAC,JPN,Fabrication tools (for advanced packaging),1.5,2024
ULVAC,JPN,CVD tools (adv. pkg.),1.3,2024
ULVAC,JPN,PVD tools (adv. pkg.),7.0,2024
ULVAC,JPN,Deposition tools (adv. pkg.),3.3,2024
ULVAC,JPN,Other deposition tools (non-IC),3.7,2024
ULVAC,JPN,Physical vapor deposition tools,2.1,2024
UniTest,KOR,Memory test tools,1.4,2024
UniTest,KOR,Burn-in test tools,6.1,2024
UnitySC,FRA,Inspection tools (adv. pkg.),1.3,2024
Ushio,JPN,Mask aligners,1.1,2024
Various companies,Various countries,Deposition tools,5.3,2024
Various companies,Various countries,Tube-based diffusion and deposition tools,0.8,2024
Various companies,Various countries,Chemical vapor deposition tools,1.4,2024
Various companies,Various countries,Handlers and probers,6.3,2024
Various companies,Various countries,Fabrication tools (for advanced packaging),4.4,2024
Various companies,Various countries,Deposition tools (adv. pkg.),3.4,2024
Various companies,Various countries,Die attaching tools for IC,4.2,2024
Various companies,Various countries,Bonding tools,10.2,2024
Various companies,Various countries,Die attaching tools,5.0,2024
Various companies,Various countries,SoC test tools,2.0,2024
Various companies,Various countries,CMP tools (adv. pkg.),0.9,2024
Various companies,Various countries,CMP tools,1.5,2024
Various companies,Various countries,Test tools,5.0,2024
Various companies,Various countries,Die attaching tools for non-IC,2.2,2024
Various companies,Various countries,Dicing tools,3.8,2024
