provider_name,provided_name,share_provided,year
KLA,Other deposition tools (non-IC),7.3,2024
KLA,Dry etching and cleaning tools,1.2,2024
KLA,Conductor etching tools,1.4,2024
KLA,Process control tools,57.2,2024
KLA,Photomask inspection and repair tools,40.7,2024
KLA,Inspection tools (adv. pkg.),39.7,2024
KLA,"Film, stack, and shape metrology tools",47.0,2024
KLA,Defect inspection tools,84.6,2024
KLA,Assembly inspection tools,47.7,2024
KOR,Dry clean tools,40.7,2024
KOR,Dry etch tools,1.0,2024
KOR,Plasma modification tools,1.5,2024
KOR,Imprint lithography,7.2,2024
KOR,Fabrication tools (for advanced packaging),0.2,2024
KOR,Wafer handlers,13.7,2024
KOR,Overlay metrology tools,0.6,2024
KOR,Test tools,3.9,2024
KOR,Resist processing tools (adv. pkg.),4.9,2024
KOR,Lithography tools (adv. pkg.),4.1,2024
KOR,Die attaching tools for IC,35.8,2024
KOR,Die attaching tools for non-IC,1.6,2024
KOR,Other deposition tools (non-IC),1.8,2024
KOR,Lithography tools,0.2,2024
KOR,Resist processing tools,1.3,2024
KOR,Deposition tools,3.2,2024
KOR,Plasma CVD tools,4.2,2024
KOR,Low-pressure CVD tools,9.7,2024
KOR,High-temperature CVD tools,1.3,2024
KOR,Atomic layer deposition tools,6.0,2024
KOR,Rapid thermal processing tools,1.2,2024
KOR,Tube-based diffusion and deposition tools,1.9,2024
KOR,Chemical vapor deposition tools,4.8,2024
KOR,Dry etching and cleaning tools,1.7,2024
KOR,Wet etching and cleaning tools,5.6,2024
KOR,Conductor etching tools,1.2,2024
KOR,Insulator etching tools,0.8,2024
KOR,Dry stripping tools,7.9,2024
KOR,Misc. dry etch tools,5.0,2024
KOR,Etch and clean tools,2.8,2024
KOR,Wafer and photomask handlers,13.1,2024
KOR,Process control tools,0.4,2024
KOR,"Film, stack, and shape metrology tools",0.5,2024
KOR,Defect inspection tools,0.5,2024
KOR,Assembly inspection tools,8.8,2024
KOR,Dicing tools,1.0,2024
KOR,Bonding tools,18.6,2024
KOR,Die attaching tools,29.1,2024
KOR,Other interconnect tools,10.8,2024
KOR,Packaging tools,16.0,2024
KOR,Memory test tools,8.7,2024
KOR,SoC test tools,0.1,2024
KOR,Burn-in test tools,43.0,2024
KOR,Linear and discrete testing tools,0.9,2024
KOR,Handlers and probers,22.1,2024
KOR,CMP tools,1.5,2024
KOSES,Other interconnect tools,2.9,2024
Keithley Instruments,Process monitoring tools,31.4,2024
Keysight Tech,Process monitoring tools,68.6,2024
Kingsemi,Resist processing tools (adv. pkg.),2.0,2024
Kingsemi,Lithography tools (adv. pkg.),1.6,2024
Koh Young Tech,Assembly inspection tools,4.7,2024
Kokusai,Plasma modification tools,5.7,2024
Kokusai,CVD tools (adv. pkg.),6.7,2024
Kokusai,Deposition tools,3.8,2024
Kokusai,Atomic layer deposition tools,9.4,2024
Kokusai,Rapid thermal processing tools,2.4,2024
Kokusai,Tube-based diffusion and deposition tools,23.7,2024
Kokusai,Dry stripping tools,27.2,2024
Kulicke & Soffa,Die attaching tools for IC,3.1,2024
Kulicke & Soffa,Auto ball bonders for IC,86.1,2024
Kulicke & Soffa,Auto ball bonders for non-IC,47.9,2024
Kulicke & Soffa,Automatic wedge bonders,54.4,2024
Kulicke & Soffa,Wafer level stud bonders,1.1,2024
Kulicke & Soffa,Bonding tools,21.9,2024
Kulicke & Soffa,Die attaching tools,2.5,2024
Kulicke & Soffa,Wire bonding tools,66.0,2024
Kulicke & Soffa,Other interconnect tools,4.6,2024
Lam Research,Dry etching tools (adv. pkg.),49.0,2024
Lam Research,Dry clean tools,59.3,2024
Lam Research,Dry etch tools,38.7,2024
Lam Research,Fabrication tools (for advanced packaging),20.4,2024
Lam Research,CVD tools (adv. pkg.),10.7,2024
Lam Research,ECP tools (adv. pkg.),68.4,2024
Lam Research,Single wafer spin & spray systems (adv. pkg.),9.4,2024
Lam Research,Deposition tools (adv. pkg.),29.4,2024
Lam Research,Etch and clean tools (adv. pkg.),36.1,2024
Lam Research,Resist processing tools,1.1,2024
Lam Research,Deposition tools,14.5,2024
Lam Research,Plasma CVD tools,27.7,2024
Lam Research,Low-pressure CVD tools,36.9,2024
Lam Research,Atomic layer deposition tools,11.0,2024
Lam Research,Electrochemical plating tools,99.8,2024
Lam Research,Chemical vapor deposition tools,25.2,2024
Lam Research,Dry etching and cleaning tools,38.6,2024
Lam Research,Wet etching and cleaning tools,17.5,2024
Lam Research,Conductor etching tools,48.8,2024
Lam Research,Insulator etching tools,25.9,2024
Lam Research,Dry stripping tools,8.1,2024
Lam Research,Etch and clean tools,32.7,2024
Lasertec,Process control tools,7.7,2024
Lasertec,Photomask inspection and repair tools,45.6,2024
Lasertec,Defect inspection tools,1.2,2024
MIRTEC,Assembly inspection tools,4.1,2024
MYS,Test tools,0.1,2024
MYS,Linear and discrete testing tools,3.8,2024
MYS,Handlers and probers,2.2,2024
