Year,World rank,EU rank,Company,Country,ISO3 Code,ICB3 short,ICB3 long,R&D (€million),R&D one-year growth (%),Net sales (€million),Net sales one-year growth (%),R&D intensity (%),Capex (€million),Capex one-year growth (%),Capex intensity (%),R&D-to-capex ratio (%),Operating profit (€million),Operating profit one-year growth (%),Profitability (%),Market capitalisation (€million),Market capitalisation one-year growth (%),Employees,Employees one-year growth (%)
2024,1737.0,260,SOITEC,France,FRA,ICT producers,Technology Hardware & Equipment,88.426,31.9003579952267,890.851,-8.90293011450905,9.92601456360267,171.984,-2.72288148055973,19.3055853335743,51.41524793004,133.092,-35.1747853235854,14.9398720998237,1750.596638,-48.8848510748886,2140.0,-8.03609798023206
2024,1754.0,261,HUGO BOSS AG,Germany,DEU,Others,Personal Goods,86.781,0.856538515178291,4307.349,2.61801246897231,2.01471949451971,227.013,-8.23493744568183,5.27036467209878,38.2273261883681,360.821,-12.0671545583264,8.37686939228746,3151.808032227,-33.2189739761746,21179.0,13.0270039491942
2024,1757.0,262,DEUTZ AG,Germany,DEU,Industrials,Industrial Engineering,86.4,-7.29613733905579,1821.3,-13.4651019147622,4.7438642727722,64.2,-1.23076923076923,3.5249547026849,134.579439252336,27.7,-81.6920026437541,1.5208916707846,554.215078693,-8.24144026733453,5228.0,-1.05980317940954
2024,1760.0,263,NESTE OYJ,Finland,FIN,Energy,Oil & Gas Producers,86.0,-8.51063829787234,20635.0,-9.9930210241647,0.416767627816816,1525.0,8.69565217391304,7.39035619093773,5.63934426229508,3.0,-99.8194945848375,0.0145384056215168,9326.68407825,-62.3564099824977,5481.0,-8.86265380778184
2024,1763.0,264,AIXTRON SE,Germany,DEU,ICT producers,Technology Hardware & Equipment,85.919,6.24335353035735,633.159,0.520734934804934,13.5698931863876,94.079,56.3579251774169,14.8586689915171,91.3264384187757,127.317,-14.8216041907795,20.1082192624601,1726.682822763,-60.4840229899342,1207.0,11.1418047882136
2024,1764.0,265,KNDS N.V.,Germany,DEU,Aerospace & Defence,Aerospace & Defence,85.824,4.18694992412746,3799.516,16.9045156121254,2.25881401736432,126.183,-4.42709122307388,3.3210282572833,68.0155012957371,500.451,22.661362667098,13.1714407835103,,,10162.0,7.06985565272363
2024,1779.0,266,NORDEX SE,Germany,DEU,Energy,Alternative Energy,84.541,4.53550628763616,7298.825,12.4787874005943,1.15828232626484,164.19,23.5607531494107,2.2495401657116,51.4897374992387,167.179,-191.513167618224,2.29049196274743,2660.066595,7.86193356501587,10405.0,2.68429882561926
2024,1787.0,267,PROTHENA CORPORATION PLC,Ireland,IRL,Health industries,Pharmaceuticals & Biotechnology,84.1389931658485,-32.3441769026553,130.09625565502,47.9227317500277,64.6744156795429,0.286841851958803,-89.3950177935943,0.220484325636112,29332.8859060402,-148.773702955049,-19.0932599091269,-114.356637096118,717.346508864119,-61.5457361374085,163.0,-5.78034682080925
2024,1792.0,268,ZALANDO SE,Germany,DEU,Others,General Retailers,83.7,12.3489932885906,10572.5,4.23341976318877,0.791676519271695,120.6,-36.6929133858268,1.14069519981083,69.4029850746269,391.9,105.398322851153,3.70678647434382,8609.535316126,50.9696506929691,15309.0,-3.0646488950801
2024,1793.0,269,LA FRANCAISE DES JEUX,France,FRA,Others,Travel & Leisure,83.5,-6.49496080627099,3065.1,16.9260700389105,2.7242178069231,149.9,20.2085004009623,4.89054190727872,55.7038025350233,528.6,1.43926309729419,17.2457668591563,6895.74962616,9.93727471478214,5678.0,61.3068181818182
